Area,Year obs,Date/time start,Date/time end,Content,GeoTIFF,Shapefile,File type,Site info,Event,Latitude,Longitude,Date/Time
"Aalen, Germany",1990,1990-08-01,1990-10-31,6 band color composits,c7126_Aalen_bands_19900801-19901031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1991,1991-05-01,1991-07-31,6 band color composits,c7126_Aalen_bands_19910501-19910731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1991,1991-08-01,1991-10-31,6 band color composits,c7126_Aalen_bands_19910801-19911031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1994,1994-05-01,1994-07-31,6 band color composits,c7126_Aalen_bands_19940501-19940731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1994,1994-08-01,1994-10-31,6 band color composits,c7126_Aalen_bands_19940801-19941031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1995,1995-05-01,1995-07-31,6 band color composits,c7126_Aalen_bands_19950501-19950731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1997,1997-08-01,1997-10-31,6 band color composits,c7126_Aalen_bands_19970801-19971031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1998,1998-05-01,1998-07-31,6 band color composits,c7126_Aalen_bands_19980501-19980731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1998,1998-08-01,1998-10-31,6 band color composits,c7126_Aalen_bands_19980801-19981031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",1999,1999-08-01,1999-10-31,6 band color composits,c7126_Aalen_bands_19990801-19991031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2000,2000-05-01,2000-07-31,6 band color composits,c7126_Aalen_bands_20000501-20000731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2000,2000-08-01,2000-10-31,6 band color composits,c7126_Aalen_bands_20000801-20001031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2001,2001-05-01,2001-07-31,6 band color composits,c7126_Aalen_bands_20010501-20010731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2001,2001-08-01,2001-10-31,6 band color composits,c7126_Aalen_bands_20010801-20011031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2003,2003-08-01,2003-10-31,6 band color composits,c7126_Aalen_bands_20030801-20031031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2004,2004-05-01,2004-07-31,6 band color composits,c7126_Aalen_bands_20040501-20040731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2004,2004-08-01,2004-10-31,6 band color composits,c7126_Aalen_bands_20040801-20041031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2005,2005-05-01,2005-07-31,6 band color composits,c7126_Aalen_bands_20050501-20050731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2006,2006-05-01,2006-07-31,6 band color composits,c7126_Aalen_bands_20060501-20060731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2006,2006-08-01,2006-10-31,6 band color composits,c7126_Aalen_bands_20060801-20061031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2007,2007-05-01,2007-07-31,6 band color composits,c7126_Aalen_bands_20070501-20070731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2007,2007-08-01,2007-10-31,6 band color composits,c7126_Aalen_bands_20070801-20071031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2008,2008-05-01,2008-07-31,6 band color composits,c7126_Aalen_bands_20080501-20080731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2009,2009-05-01,2009-07-31,6 band color composits,c7126_Aalen_bands_20090501-20090731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2010,2010-05-01,2010-07-31,6 band color composits,c7126_Aalen_bands_20100501-20100731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2010,2010-08-01,2010-10-31,6 band color composits,c7126_Aalen_bands_20100801-20101031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2011,2011-05-01,2011-07-31,6 band color composits,c7126_Aalen_bands_20110501-20110731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2011,2011-08-01,2011-10-31,6 band color composits,c7126_Aalen_bands_20110801-20111031.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
"Aalen, Germany",2014,2014-05-01,2014-07-31,6 band color composits,c7126_Aalen_bands_20140501-20140731.tif,,tif,c7126,ESIS_Aalen,48.79899472,9.998824433,1985-05-01
