Event,Sample label,Half,Depth sed,Age,Cluster,SST,SST std dev,Latitude,Longitude,Elevation,Date/Time
383-U1539C,"383-U1539C-24H-4,72-74",Working (W),223.72,1.260259433,6.0,4.039557893,1.529699821,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-24H-4,112-114",Working (W),224.12,1.261823321,5.0,1.809675464,1.60155502,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-25H-1,132-134",Working (W),226.02,1.271206651,3.0,1.593471975,1.706118404,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-25H-2,102-104",Working (W),227.22,1.275898316,3.0,1.509938239,1.683160317,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-25H-3,33-35",Working (W),228.02,1.279026092,4.0,1.503794925,1.678739783,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-25H-3,73-75",Working (W),228.42,1.280589981,5.0,3.188337703,1.774827398,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-25H-4,83-85",Working (W),230.02,1.286845534,5.0,1.59348251,1.706115652,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-25H-5,53-55",Working (W),231.22,1.291537199,4.0,1.513546931,1.683175228,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-25H-5,93-95",Working (W),231.62,1.293101087,3.0,2.78544567,1.744550425,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-25H-6,63-65",Working (W),232.82,1.297792752,5.0,3.322378736,1.230078439,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-26H-1,12-14",Working (W),234.32,1.305612194,1.0,3.031520177,1.851089828,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-26H-2,102-104",Working (W),236.72,1.314219,3.0,1.935829224,1.938556238,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-26H-2,142-144",Working (W),237.12,1.31534431,4.0,1.540063047,1.687742636,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
383-U1539C,"383-U1539C-26H-3,32-34",Working (W),237.52,1.316469619,4.0,1.057444564,1.333836043,-56.1512,-115.1338,-4081.0,2019-06-03 13:00:00
