Site,Country,Province,Lab label,Comm,Dating meth,Age dated,Age dated std dev,Age dated_2,Age dated std dev_2,Reference,Cal age max,Cal age min
Gua Baturong,Malaysia,Sabah,ANU-5766,Uncalibrated,Radiocarbon age,0.79,70.0,,,"Shuhaimi, N. H., bin Ramli, Z., Sauman Sabin, Y., & Jusoh, A. (2016). Kaedah analisis keranda kayu balak di Sabah dan pentarikhannya Prehistoric burial practices in Malaysia View project Motif Hiasan gendang gangsa di Malaysia View project. https://www.researchgate.net/publication/305225954",0.905,0.565
Gua Baturong,Malaysia,Sabah,ANU-2560,Calibrated,Radiocarbon age,,,17.9,200.0,"Bellwood, P. (1984). Archaeological Research in the Madai-Baturong Region, Sabah. Bulletin of the Indo-Pacific Prehistory Association, 5.",22.256,21.106
Gua Baturong,Malaysia,Sabah,BAT 1,Calibrated,Radiocarbon age,,,15.3,190.0,"Bellwood, P. (1984). Archaeological Research in the Madai-Baturong Region, Sabah. Bulletin of the Indo-Pacific Prehistory Association, 5.",18.913,18.235
Gua Baturong,Malaysia,Sabah,BAT 1,Calibrated,Radiocarbon age,,,13.7,130.0,"Bellwood, P. (1984). Archaeological Research in the Madai-Baturong Region, Sabah. Bulletin of the Indo-Pacific Prehistory Association, 5.",17.005,16.224
Gua Baturong,Malaysia,Sabah,ANU-2558,Calibrated,Radiocarbon age,,,12.05,120.0,"Bellwood, P. (1984). Archaeological Research in the Madai-Baturong Region, Sabah. Bulletin of the Indo-Pacific Prehistory Association, 5.",14.291,13.602
Gua Ham,Indonesia,Kalimantan Timur,CHZ1,Uncalibrated,Radiocarbon age,10.0,,,,"Chazine, J. M. (2005). Rock art, burials, and habitations: caves in East Kalimantan. Asian Perspectives, 44(1), 219-230.",11.614,11.327
Gua Ilas Kenceng,Indonesia,Kalimantan Timur,CHZ1,Uncalibrated,Radiocarbon age,10.0,,,,"Chazine, J. M. (2005). Rock art, burials, and habitations: caves in East Kalimantan. Asian Perspectives, 44(1), 219-230.",11.614,11.327
Gua Jufri,Indonesia,Kalimantan Timur,CHZ1,Uncalibrated,Radiocarbon age,10.0,,,,"Chazine, J. M. (2005). Rock art, burials, and habitations: caves in East Kalimantan. Asian Perspectives, 44(1), 219-230.",11.614,11.327
Gua Keboboh,Indonesia,Kalimantan Timur,CHZ1,Uncalibrated,Radiocarbon age,3.25,250.0,,,"Chazine, J. M. (2005). Rock art, burials, and habitations: caves in East Kalimantan. Asian Perspectives, 44(1), 219-230.",4.148,2.855
Gua Keboboh,Indonesia,Kalimantan Timur,CHZ1,Uncalibrated,Radiocarbon age,2.0,250.0,,,"Chazine, J. M. (2005). Rock art, burials, and habitations: caves in East Kalimantan. Asian Perspectives, 44(1), 219-230.",2.698,1.401
