Depth sed,Age,Uvigerina spp. δ13C,Uvigerina spp. δ18O,Event,Latitude,Longitude,Elevation,Date/Time
6.83,25.157,-0.134,4.172,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.88,25.263,-0.298,4.18,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
6.93,25.369,-0.176,4.306,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
7.03,25.58,-0.644,4.002,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
7.08,25.686,-0.607,4.22,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
7.13,25.792,-0.362,4.271,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
7.18,25.898,-0.045,4.145,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
7.23,26.004,-0.046,4.244,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
7.28,26.11,-0.193,4.148,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
7.48,26.606,-0.526,4.299,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
7.68,27.191,-0.19,4.206,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
7.73,27.341,-0.251,4.164,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
7.83,27.654,-0.283,4.132,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
7.88,27.81,-0.187,4.201,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
7.93,27.966,-0.594,4.265,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
7.98,28.122,-0.83,3.876,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.03,28.278,-0.266,4.278,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.13,28.561,-0.95,4.205,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.18,28.697,-0.77,4.23,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.23,28.832,-0.68,4.195,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.28,28.967,-0.051,4.254,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.33,29.103,-0.026,4.226,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.38,29.238,-0.823,4.214,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.43,29.373,-0.877,4.153,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.48,29.508,-0.057,4.266,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.53,29.644,-0.775,4.102,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.58,29.779,-0.617,3.589,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.68,30.05,-0.403,4.378,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.73,30.185,-0.287,4.321,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.88,30.591,-0.488,4.166,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.93,30.726,-0.75,4.362,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
8.98,30.861,-0.431,4.384,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.08,31.132,-0.488,4.292,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.13,31.279,-0.538,4.141,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.23,31.591,-0.63,4.217,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.28,31.747,-0.348,4.288,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.33,31.902,-0.515,3.949,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.38,32.058,-0.666,4.314,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.43,32.214,-0.802,4.287,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.48,32.369,-0.322,4.365,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.53,32.525,-0.326,4.203,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.58,32.681,-0.85,4.319,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.63,32.836,-0.767,4.207,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.68,32.992,-0.66,4.142,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.83,33.469,-0.503,4.234,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.88,33.648,-0.408,4.224,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.93,33.827,-0.68,4.398,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
9.98,34.007,-0.266,4.314,M78/1_181-3,29.0,-88.33333333,-803.5,2009-03-04 11:58:00
