Year obs,Depth top,Depth bot,Depth water,TP,Description,Event,Latitude,Longitude,Elevation,Date/Time
1994,0,250,125,29.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1995,0,250,125,24.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1996,0,250,125,22.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1997,0,250,125,18.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1998,0,250,125,17.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
1999,0,250,125,15.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2000,0,250,125,14.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2001,0,250,125,13.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2002,0,250,125,12.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2003,0,250,125,12.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2004,0,250,125,11.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2005,0,250,125,10.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2006,0,250,125,9.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2007,0,250,125,9.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2008,0,250,125,8.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2009,0,250,125,7.8,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
2010,0,250,125,6.0,Concentration during the winter mixing period for the whole water column,Lake_Constance_Fischbach-Uttwil,47.6240037651,9.3754994815,-252.0,
